FechaVenta,IdVehiculo,IdModelo,IdCliente,Estado,Year,FechaPrimerContacto,FechaEntregaCoche,FechaCompraCoche,Precio
2023-11-11,1,8,21113,Nuevo,2023,2023-10-26,2023-11-22,2023-09-20,39125
2017-02-09,2,11,15708,Segunda Mano,2009,2017-01-24,2017-02-14,2016-12-23,26163
2020-01-03,3,13,5228,Segunda Mano,2005,2019-12-26,2020-01-05,2019-11-28,30202
2016-02-14,4,13,10231,Segunda Mano,2010,2016-01-30,2016-02-17,2016-01-01,42294
2021-02-14,5,7,200,Segunda Mano,2017,2021-01-21,2021-02-17,2020-12-15,36874
2017-03-20,6,15,12781,Segunda Mano,2009,2017-02-27,2017-03-26,2017-01-29,18959
2023-10-15,7,9,20315,Segunda Mano,2009,2023-09-24,2023-10-19,2023-08-27,150768
2023-04-17,8,15,4113,Segunda Mano,2014,2023-03-30,2023-04-20,2023-02-28,14095
2017-04-20,9,14,28552,Nuevo,2017,2017-03-28,2017-04-27,2017-02-22,31282
2021-09-07,10,7,24224,Segunda Mano,2008,2021-08-25,2021-09-12,2021-07-28,16843
2023-05-17,11,6,17712,Segunda Mano,2015,2023-04-26,2023-05-25,2023-04-04,17838
2017-03-06,12,9,11582,Segunda Mano,2003,2017-02-08,2017-03-13,2017-01-12,128643
2019-05-18,13,14,21673,Nuevo,2019,2019-04-28,2019-05-21,2019-03-20,31116
2020-11-12,14,17,12737,Nuevo,2020,2020-10-26,2020-11-16,2020-09-24,24338
2018-01-31,15,6,2175,Segunda Mano,2014,2018-01-09,2018-02-04,2017-12-21,24246
2015-06-04,16,14,20645,Segunda Mano,2004,2015-05-20,2015-06-09,2015-04-20,20160
2017-01-09,17,12,29444,Nuevo,2017,2016-12-19,2017-01-12,2016-11-26,55019
2021-03-27,18,8,686,Segunda Mano,2017,2021-03-04,2021-03-29,2021-02-10,43478
2023-04-24,19,14,14664,Segunda Mano,2020,2023-03-30,2023-04-27,2023-02-18,23709
2020-05-05,20,9,3779,Segunda Mano,2009,2020-04-17,2020-05-08,2020-03-16,129205
2015-03-10,21,6,4992,Nuevo,2015,2015-02-23,2015-03-12,2015-01-22,31902
2018-01-02,22,8,18297,Segunda Mano,2010,2017-12-12,2018-01-04,2017-11-24,38390
2018-01-22,23,18,22974,Segunda Mano,2012,2017-12-25,2018-01-26,2017-11-27,26439
2015-01-13,24,7,12800,Nuevo,2015,2014-12-24,2015-01-18,2014-11-25,33593
2016-01-20,25,17,20618,Segunda Mano,2013,2015-12-17,2016-01-26,2015-11-21,16649
2017-01-14,26,12,10983,Nuevo,2017,2016-12-26,2017-01-15,2016-11-29,51532
2019-02-12,27,14,9156,Nuevo,2019,2019-01-30,2019-02-16,2019-01-01,40413
2023-09-10,28,5,16202,Segunda Mano,2020,2023-08-15,2023-09-15,2023-07-14,17181
2015-05-05,29,15,2685,Segunda Mano,2013,2015-04-14,2015-05-13,2015-03-06,19194
2023-03-10,30,14,2619,Segunda Mano,2018,2023-02-14,2023-03-15,2023-01-16,24308
